Reference,Log2owc,Log2uwc,Log2urob,Log2otp,Log2ea
ENST00000295702,-0.027646017,-0.22430407,-0.145203595,-0.018198415,-0.216918042
ENST00000337130,-0.136880348,-0.065813435,-0.043549815,-0.114223849,-0.24664787
ENST00000261735,0.08390157,0.118037883,0.050783769,0.26344137,-0.017493233
ENST00000551018,0.026125239,-0.133873144,-0.084077621,0.058367787,-0.115514058
ENST00000610680,0.193537772,-0.029826024,0.063001339,0.033597384,0.061946665
ENST00000394634,0.095895517,0.010135418,-0.128065633,-0.216750301,0.22663648
ENST00000491306,-0.307298495,0.095711789,-0.079638685,-0.103875787,-0.109079065
ENST00000524496,0.094143663,0.214253198,-0.040933866,0.178000318,-0.00685365
ENST00000228136,0.143896698,0.192879548,0.03243932,0.111983145,0.116003098
ENST00000372661,0.202478194,-0.071300673,-0.04516628,0.093246136,0.05735083
ENST00000367975,0.005366679,0.160410005,-0.250835343,0.093425653,0.279839781
ENST00000273258,0.377968912,0.22726498,0.141482079,0.047132001,0.075481283
ENST00000477892,0.241084903,0.296282831,0.427209532,-0.174533565,-0.045421306
ENST00000588234,-0.09462692,0.022448555,0.059639234,0.114516721,-0.178425
ENST00000216500,-0.037671411,0.180167041,-0.125227985,0.10055675,-0.076096253
ENST00000225792,0.245343413,0.025798621,-0.18198818,0.011307033,0.400301517
ENST00000252593,-0.003776247,0.052515959,-0.121552327,0.100805184,-0.181294132
ENST00000205402,0.166446528,-0.055039826,-0.268393715,-0.249681129,0.186437652
ENST00000371065,0.060890657,-0.135969171,-0.109870521,-0.14670349,0.042468587
ENST00000368003,-0.329703262,0.150749169,0.09066829,-0.061946876,-0.391553999
ENST00000310974,0.187635418,0.432230329,0.175521835,0.318952325,-0.067735892
ENST00000530028,0.158432531,0.145155587,0.145551744,0.0244513,0.00801266
ENST00000375602,-0.046775308,0.02345182,0.070046941,0.061604298,-0.318797656
ENST00000342192,-0.185158792,-0.046937507,-0.230076783,0.098917457,-0.153060452
ENST00000394440,0.095518575,-0.023090766,-0.203276724,-0.009415165,-0.014540588
ENST00000261700,-0.102891819,-0.275074776,-0.317240424,0.074260086,-0.150291932
ENST00000337002,-0.11826467,0.254232027,-0.156317745,-0.215902405,0.053756512
ENST00000529460,0.07765554,0.079928585,-0.148024538,0.211343351,-0.134373085
ENST00000380649,0.272891256,0.273224743,-0.170918404,-0.006806806,0.436579975
ENST00000338639,-0.019971175,-0.117440259,-0.016582767,0.204156251,-0.388506628
ENST00000306085,0.218770317,0.001844866,-0.00290783,0.319429328,-0.114179937
ENST00000312175,-0.069452421,0.049203225,-0.277671528,-0.077960305,-0.008010119
ENST00000541152,0.107045235,-0.089959523,-0.112333796,-0.017839313,-0.05345309
ENST00000396394,0.067545167,-0.209876079,-0.19334301,-0.026152929,0.005929072
ENST00000264335,0.063358145,-0.016997741,-0.048023291,-0.057640321,-0.025438714
